,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
1058,2003/11/25,1.6,21.5,32.714
1059,2003/11/26,0.34,14.7,30.394
1060,2003/11/27,4.17,27.7,32.473
1061,2003/11/28,2.84,57.6,35.223
1062,2003/11/29,3.13,79.9,38.517
1063,2003/11/30,0.12,61.3,38.08
1064,2003/12/ 1,0.04,45.9,35.86
1065,2003/12/ 2,0.0,45.8,32.917
1066,2003/12/ 3,0.0,33.6,29.707
1067,2003/12/ 4,0.0,19.1,26.645
1068,2003/12/ 5,0.78,31.0,24.276
1069,2003/12/ 6,3.46,13.5,22.542
1070,2003/12/ 7,0.1,34.8,20.452
1071,2003/12/ 8,0.1,8.5,18.39
1072,2003/12/ 9,0.08,27.1,16.558
1073,2003/12/10,0.0,5.9,14.936
1074,2003/12/11,0.0,18.4,13.539
1075,2003/12/12,0.0,15.5,12.273
1076,2003/12/13,0.0,15.0,11.102
1077,2003/12/14,0.0,6.4,10.104
1078,2003/12/15,0.0,11.3,9.108
1079,2003/12/16,0.12,6.1,8.339
1080,2003/12/17,0.56,18.1,7.685
1081,2003/12/18,0.0,8.5,7.264
1082,2003/12/19,0.0,10.0,6.867
1083,2003/12/20,0.0,12.7,6.505
1084,2003/12/21,0.0,12.5,6.171
1085,2003/12/22,0.0,12.4,5.86
1086,2003/12/23,0.0,12.3,5.577
1087,2003/12/24,0.0,11.0,5.315
1088,2003/12/25,0.11,3.8,5.061
1089,2003/12/26,0.0,5.6,4.823
1090,2003/12/27,0.15,7.8,4.603
1091,2003/12/28,0.05,8.0,4.399
1092,2003/12/29,0.2,8.8,4.203
1093,2003/12/30,0.0,6.7,4.04
1094,2003/12/31,0.0,2.16,3.877
1095,2004/ 1/ 1,0.14,3.61,3.719
1096,2004/ 1/ 2,0.99,4.8,3.568
1097,2004/ 1/ 3,0.0,2.1,3.419
1098,2004/ 1/ 4,0.0,5.8,3.286
1099,2004/ 1/ 5,0.0,0.5,3.165
1100,2004/ 1/ 6,0.0,2.9,3.054
1101,2004/ 1/ 7,0.0,3.1,2.946
1102,2004/ 1/ 8,0.0,0.5,2.847
1103,2004/ 1/ 9,0.0,0.4,2.75
1104,2004/ 1/10,0.0,4.4,2.651
1105,2004/ 1/11,0.06,0.8,2.564
1106,2004/ 1/12,1.28,3.0,2.484
1107,2004/ 1/13,0.47,2.8,2.41
1108,2004/ 1/14,0.05,0.7,2.341
1109,2004/ 1/15,0.01,0.8,2.34
1110,2004/ 1/16,0.13,0.6,2.34
1111,2004/ 1/17,1.8,3.7,2.339
1112,2004/ 1/18,1.53,8.4,2.338
1113,2004/ 1/19,0.0,4.9,2.338
1114,2004/ 1/20,0.03,1.7,2.337
1115,2004/ 1/21,0.17,6.9,2.336
1116,2004/ 1/22,0.0,4.0,2.335
1117,2004/ 1/23,0.0,1.2,2.335
1118,2004/ 1/24,0.0,6.1,2.334
1119,2004/ 1/25,0.0,11.1,2.333
1120,2004/ 1/26,0.0,2.6,2.332
1121,2004/ 1/27,0.0,5.7,2.332
1122,2004/ 1/28,0.0,1.0,2.331
1123,2004/ 1/29,0.0,10.5,2.33
1124,2004/ 1/30,0.0,2.5,2.329
1125,2004/ 1/31,0.0,10.7,2.328
1126,2004/ 2/ 1,0.09,2.1,2.328
1127,2004/ 2/ 2,0.0,3.1,2.327
1128,2004/ 2/ 3,0.0,1.5,2.326
1129,2004/ 2/ 4,0.27,0.9,2.325
1130,2004/ 2/ 5,0.97,2.0,2.324
1131,2004/ 2/ 6,0.55,0.3,2.323
1132,2004/ 2/ 7,0.17,0.1,2.322
1133,2004/ 2/ 8,0.26,1.4,2.322
1134,2004/ 2/ 9,0.0,0.3,2.321
1135,2004/ 2/10,0.01,0.8,2.32
1136,2004/ 2/11,0.09,3.3,2.319
1137,2004/ 2/12,0.0,0.5,2.318
1138,2004/ 2/13,0.5,3.4,2.317
1139,2004/ 2/14,4.07,2.6,2.316
1140,2004/ 2/15,0.31,0.8,2.315
1141,2004/ 2/16,0.0,2.5,2.314
1142,2004/ 2/17,0.02,0.4,2.314
1143,2004/ 2/18,0.0,10.4,2.313
1144,2004/ 2/19,0.0,3.4,2.337
1145,2004/ 2/20,0.16,0.2,3.591
1146,2004/ 2/21,16.3,15.9,17.345
1147,2004/ 2/22,26.57,106.4,76.095
1148,2004/ 2/23,1.51,111.2,97.575
1149,2004/ 2/24,0.1,45.5,70.902
1150,2004/ 2/25,0.29,41.5,53.897
1151,2004/ 2/26,0.04,32.2,45.45
1152,2004/ 2/27,0.0,23.6,39.378
1153,2004/ 2/28,4.79,24.3,35.752
1154,2004/ 2/29,0.06,21.2,33.072
1155,2004/ 3/ 1,0.0,22.5,29.65
1156,2004/ 3/ 2,0.0,17.7,25.756
1157,2004/ 3/ 3,0.0,18.8,22.03
1158,2004/ 3/ 4,1.83,10.9,18.618
1159,2004/ 3/ 5,1.87,19.5,15.749
1160,2004/ 3/ 6,0.26,8.8,13.195
1161,2004/ 3/ 7,0.0,9.8,11.06
1162,2004/ 3/ 8,0.0,10.9,9.517
1163,2004/ 3/ 9,0.0,14.3,10.348
1164,2004/ 3/10,0.0,6.9,13.521
1165,2004/ 3/11,0.0,16.6,15.316
1166,2004/ 3/12,0.0,11.3,16.238
1167,2004/ 3/13,0.0,11.2,16.567
1168,2004/ 3/14,0.0,18.1,16.719
1169,2004/ 3/15,0.0,7.4,16.969
1170,2004/ 3/16,0.58,7.5,45.484
1171,2004/ 3/17,6.69,20.5,70.598
1172,2004/ 3/18,0.0,36.1,65.911
