,date_cal,rain_cal,Q_obs_cal,Q_sim_cal
1490,2005/ 1/30,0.0,1.33,2.28
1491,2005/ 1/31,0.0,4.11,2.28
1492,2005/ 2/ 1,0.0,1.16,2.279
1493,2005/ 2/ 2,0.0,0.09,2.278
1494,2005/ 2/ 3,0.0,1.51,2.277
1495,2005/ 2/ 4,0.0,0.13,2.276
1496,2005/ 2/ 5,0.0,1.15,2.276
1497,2005/ 2/ 6,0.0,0.16,2.275
1498,2005/ 2/ 7,0.25,0.58,2.274
1499,2005/ 2/ 8,1.56,2.56,2.273
1500,2005/ 2/ 9,0.0,0.07,2.272
1501,2005/ 2/10,0.0,2.92,2.272
1502,2005/ 2/11,0.0,0.46,2.271
1503,2005/ 2/12,0.0,0.14,2.27
1504,2005/ 2/13,0.04,3.28,2.269
1505,2005/ 2/14,0.0,6.2,2.268
1506,2005/ 2/15,4.69,5.79,2.267
1507,2005/ 2/16,8.84,11.36,2.266
1508,2005/ 2/17,0.68,2.42,2.266
1509,2005/ 2/18,0.2,0.14,2.265
1510,2005/ 2/19,0.66,3.65,2.264
1511,2005/ 2/20,0.0,3.31,2.263
1512,2005/ 2/21,0.85,6.07,2.262
1513,2005/ 2/22,7.86,5.09,2.261
1514,2005/ 2/23,0.34,5.03,2.26
1515,2005/ 2/24,0.11,1.55,2.26
1516,2005/ 2/25,0.0,0.11,2.259
1517,2005/ 2/26,0.06,0.07,2.258
1518,2005/ 2/27,0.0,0.09,2.257
1519,2005/ 2/28,0.0,2.88,2.256
1520,2005/ 3/ 1,0.01,4.18,2.255
1521,2005/ 3/ 2,0.05,2.61,2.254
1522,2005/ 3/ 3,0.01,3.92,2.253
1523,2005/ 3/ 4,3.82,3.04,2.252
1524,2005/ 3/ 5,0.4,7.25,2.251
1525,2005/ 3/ 6,0.0,3.56,2.25
1526,2005/ 3/ 7,0.0,0.1,2.249
1527,2005/ 3/ 8,0.01,0.41,4.417
1528,2005/ 3/ 9,0.0,7.76,6.673
1529,2005/ 3/10,6.63,11.44,18.175
1530,2005/ 3/11,5.85,13.76,21.299
1531,2005/ 3/12,0.41,27.63,20.34
1532,2005/ 3/13,0.05,25.75,17.59
1533,2005/ 3/14,0.06,11.25,14.203
1534,2005/ 3/15,0.0,12.73,12.948
1535,2005/ 3/16,0.14,12.91,15.595
1536,2005/ 3/17,6.79,25.85,24.352
1537,2005/ 3/18,0.89,21.59,29.407
1538,2005/ 3/19,0.0,30.2,31.148
1539,2005/ 3/20,0.0,25.94,33.483
1540,2005/ 3/21,0.02,25.85,35.848
1541,2005/ 3/22,0.8,40.87,40.123
1542,2005/ 3/23,1.45,46.23,43.183
1543,2005/ 3/24,3.26,52.3,41.608
1544,2005/ 3/25,0.4,9.55,37.795
1545,2005/ 3/26,0.24,29.28,37.159
1546,2005/ 3/27,0.0,30.26,38.233
1547,2005/ 3/28,0.0,13.43,39.119
1548,2005/ 3/29,0.0,79.58,38.101
1549,2005/ 3/30,0.0,40.27,36.654
1550,2005/ 3/31,0.0,38.58,35.801
1551,2005/ 4/ 1,0.0,33.85,35.334
1552,2005/ 4/ 2,0.0,42.52,34.768
1553,2005/ 4/ 3,1.84,34.9,34.816
1554,2005/ 4/ 4,0.0,34.39,33.514
1555,2005/ 4/ 5,0.0,33.93,53.428
1556,2005/ 4/ 6,4.34,49.33,67.663
1557,2005/ 4/ 7,0.25,92.0,60.549
1558,2005/ 4/ 8,0.0,99.38,49.204
1559,2005/ 4/ 9,23.59,75.07,104.747
1560,2005/ 4/10,24.33,402.9,256.35
1561,2005/ 4/11,0.33,268.22,253.014
1562,2005/ 4/12,2.27,158.17,143.338
1563,2005/ 4/13,0.04,107.2,103.824
1564,2005/ 4/14,0.0,85.71,75.425
1565,2005/ 4/15,0.0,68.46,59.902
1566,2005/ 4/16,0.0,59.92,50.62
1567,2005/ 4/17,0.0,45.53,42.923
1568,2005/ 4/18,0.2,37.89,36.679
1569,2005/ 4/19,9.49,46.44,43.139
1570,2005/ 4/20,9.43,64.41,60.309
1571,2005/ 4/21,0.03,65.81,61.097
1572,2005/ 4/22,0.0,60.95,51.238
1573,2005/ 4/23,0.0,50.79,45.372
1574,2005/ 4/24,0.09,43.21,39.518
1575,2005/ 4/25,0.0,39.15,33.679
1576,2005/ 4/26,0.0,31.84,28.08
1577,2005/ 4/27,0.56,34.07,23.507
1578,2005/ 4/28,0.0,34.61,19.312
1579,2005/ 4/29,0.04,26.64,16.352
1580,2005/ 4/30,0.0,32.68,14.257
1581,2005/ 5/ 1,0.01,18.18,13.254
1582,2005/ 5/ 2,0.69,23.93,12.287
1583,2005/ 5/ 3,0.0,18.61,11.405
1584,2005/ 5/ 4,0.0,9.9,10.558
1585,2005/ 5/ 5,3.8,19.07,12.577
1586,2005/ 5/ 6,25.85,39.84,66.542
1587,2005/ 5/ 7,0.09,62.11,84.31
1588,2005/ 5/ 8,0.0,56.32,61.732
1589,2005/ 5/ 9,0.29,41.58,47.696
1590,2005/ 5/10,0.03,33.36,41.232
1591,2005/ 5/11,3.1,32.56,39.381
1592,2005/ 5/12,2.51,29.34,38.637
1593,2005/ 5/13,0.0,32.16,34.864
1594,2005/ 5/14,0.0,17.76,29.982
1595,2005/ 5/15,0.52,22.76,25.484
1596,2005/ 5/16,0.0,17.42,20.895
1597,2005/ 5/17,9.48,24.46,28.827
1598,2005/ 5/18,25.26,68.41,94.512
1599,2005/ 5/19,0.0,84.55,118.12
1600,2005/ 5/20,0.0,66.6,85.705
1601,2005/ 5/21,0.0,45.23,61.389
1602,2005/ 5/22,0.22,37.67,50.112
1603,2005/ 5/23,1.05,37.11,44.164
1604,2005/ 5/24,0.01,28.49,37.988
1605,2005/ 5/25,0.0,25.29,31.897
1606,2005/ 5/26,0.0,21.12,26.066
1607,2005/ 5/27,0.0,20.74,20.721
1608,2005/ 5/28,0.0,18.9,16.749
1609,2005/ 5/29,0.0,11.77,13.966
1610,2005/ 5/30,0.26,9.04,13.118
1611,2005/ 5/31,0.0,12.27,12.221
1612,2005/ 6/ 1,0.01,7.21,11.376
1613,2005/ 6/ 2,2.32,7.13,10.978
1614,2005/ 6/ 3,2.38,15.46,12.469
1615,2005/ 6/ 4,0.56,3.62,11.743
1616,2005/ 6/ 5,0.0,14.08,9.793
1617,2005/ 6/ 6,0.0,5.38,8.143
1618,2005/ 6/ 7,0.02,0.76,7.604
1619,2005/ 6/ 8,0.0,8.94,7.049
1620,2005/ 6/ 9,0.03,5.54,6.518
1621,2005/ 6/10,10.43,5.05,17.225
1622,2005/ 6/11,0.09,5.96,19.489
1623,2005/ 6/12,0.0,4.33,17.445
1624,2005/ 6/13,0.0,3.84,13.706
1625,2005/ 6/14,9.58,14.77,21.5
1626,2005/ 6/15,5.14,2.16,28.854
1627,2005/ 6/16,1.53,4.42,30.971
1628,2005/ 6/17,0.41,6.64,29.239
1629,2005/ 6/18,0.0,1.97,25.411
1630,2005/ 6/19,0.12,0.08,20.794
1631,2005/ 6/20,0.0,0.76,15.788
1632,2005/ 6/21,0.0,1.57,11.767
1633,2005/ 6/22,0.28,1.29,9.035
1634,2005/ 6/23,0.0,0.14,7.31
1635,2005/ 6/24,0.0,0.14,6.749
1636,2005/ 6/25,0.0,0.07,6.216
1637,2005/ 6/26,32.88,14.3,74.89
1638,2005/ 6/27,114.26,832.8,1159.422
1639,2005/ 6/28,1.05,502.95,1170.599
1640,2005/ 6/29,12.9,206.48,263.591
1641,2005/ 6/30,2.74,181.89,178.197
1642,2005/ 7/ 1,37.81,494.59,374.558
1643,2005/ 7/ 2,3.22,303.52,377.073
1644,2005/ 7/ 3,23.49,223.2,286.19
1645,2005/ 7/ 4,0.1,286.48,257.171
1646,2005/ 7/ 5,0.53,179.17,148.611
1647,2005/ 7/ 6,18.44,133.5,159.403
1648,2005/ 7/ 7,0.94,196.96,160.923
1649,2005/ 7/ 8,0.3,141.73,121.703
1650,2005/ 7/ 9,30.58,261.81,215.609
1651,2005/ 7/10,0.24,256.95,232.987
1652,2005/ 7/11,16.63,185.93,196.546
1653,2005/ 7/12,0.58,222.22,182.695
1654,2005/ 7/13,13.02,183.28,177.18
1655,2005/ 7/14,2.07,178.22,165.943
1656,2005/ 7/15,0.0,144.53,126.447
1657,2005/ 7/16,0.0,110.16,92.794
1658,2005/ 7/17,0.91,90.68,75.14
1659,2005/ 7/18,0.01,77.71,64.744
1660,2005/ 7/19,0.0,60.13,55.581
1661,2005/ 7/20,0.0,51.8,47.161
1662,2005/ 7/21,0.0,46.68,39.615
1663,2005/ 7/22,0.0,33.84,33.113
1664,2005/ 7/23,0.04,38.15,28.39
1665,2005/ 7/24,3.79,24.94,28.753
1666,2005/ 7/25,14.6,47.0,47.266
1667,2005/ 7/26,1.13,46.69,52.45
1668,2005/ 7/27,2.85,37.99,52.534
1669,2005/ 7/28,80.82,428.91,661.343
1670,2005/ 7/29,0.09,386.03,697.058
1671,2005/ 7/30,0.75,183.93,181.93
1672,2005/ 7/31,0.29,120.43,106.994
1673,2005/ 8/ 1,27.33,148.07,159.15
1674,2005/ 8/ 2,2.45,194.42,187.533
1675,2005/ 8/ 3,34.53,266.21,375.976
1676,2005/ 8/ 4,0.25,253.2,365.553
1677,2005/ 8/ 5,0.67,179.81,160.452
1678,2005/ 8/ 6,7.78,137.58,131.2
1679,2005/ 8/ 7,2.75,156.76,120.553
1680,2005/ 8/ 8,0.3,142.96,95.907
1681,2005/ 8/ 9,2.97,104.53,79.507
1682,2005/ 8/10,6.76,99.79,84.68
1683,2005/ 8/11,24.44,197.0,153.409
1684,2005/ 8/12,16.22,385.85,252.011
1685,2005/ 8/13,0.12,275.24,230.574
1686,2005/ 8/14,0.0,166.8,144.117
1687,2005/ 8/15,0.1,121.73,101.072
1688,2005/ 8/16,0.0,81.72,77.538
1689,2005/ 8/17,4.14,77.72,71.225
1690,2005/ 8/18,4.54,66.52,69.703
1691,2005/ 8/19,39.31,147.59,257.007
1692,2005/ 8/20,3.36,281.46,298.361
1693,2005/ 8/21,1.18,195.82,166.393
1694,2005/ 8/22,10.33,185.18,151.739
1695,2005/ 8/23,0.78,151.01,136.915
1696,2005/ 8/24,8.64,103.89,129.147
1697,2005/ 8/25,46.51,479.49,441.217
1698,2005/ 8/26,0.79,427.54,450.87
1699,2005/ 8/27,0.09,247.22,172.375
1700,2005/ 8/28,0.0,157.55,113.137
1701,2005/ 8/29,0.0,134.14,85.736
1702,2005/ 8/30,0.0,96.1,71.749
1703,2005/ 8/31,0.0,74.06,61.811
1704,2005/ 9/ 1,2.21,60.36,56.085
1705,2005/ 9/ 2,16.0,85.5,82.194
1706,2005/ 9/ 3,0.08,85.47,86.272
1707,2005/ 9/ 4,0.04,66.31,70.36
1708,2005/ 9/ 5,0.0,51.62,60.69
1709,2005/ 9/ 6,11.22,52.08,74.19
1710,2005/ 9/ 7,5.79,245.12,89.185
1711,2005/ 9/ 8,0.11,146.56,80.302
1712,2005/ 9/ 9,0.96,85.89,66.481
1713,2005/ 9/10,0.22,68.94,59.642
1714,2005/ 9/11,0.05,52.65,52.891
1715,2005/ 9/12,0.0,46.57,46.233
1716,2005/ 9/13,55.17,96.9,332.558
1717,2005/ 9/14,0.66,349.77,371.612
1718,2005/ 9/15,0.61,193.88,154.389
1719,2005/ 9/16,0.1,115.5,104.225
1720,2005/ 9/17,25.75,155.45,154.572
1721,2005/ 9/18,4.29,188.95,187.721
1722,2005/ 9/19,0.02,164.36,152.934
1723,2005/ 9/20,1.41,116.07,116.929
1724,2005/ 9/21,41.6,165.08,335.758
1725,2005/ 9/22,4.67,400.54,369.449
1726,2005/ 9/23,0.11,286.93,181.406
1727,2005/ 9/24,0.69,194.51,128.165
1728,2005/ 9/25,0.03,135.95,95.338
1729,2005/ 9/26,0.0,112.64,75.424
1730,2005/ 9/27,0.0,88.22,65.139
1731,2005/ 9/28,0.0,70.57,56.67
1732,2005/ 9/29,0.08,58.53,49.53
1733,2005/ 9/30,29.21,76.41,113.316
1734,2005/10/ 1,16.06,257.64,189.703
1735,2005/10/ 2,0.0,221.37,184.322
1736,2005/10/ 3,0.0,120.11,137.115
1737,2005/10/ 4,0.0,95.63,100.157
1738,2005/10/ 5,0.0,71.3,77.012
1739,2005/10/ 6,0.0,64.62,65.273
1740,2005/10/ 7,13.32,77.18,85.579
1741,2005/10/ 8,0.26,59.94,87.789
1742,2005/10/ 9,0.02,50.26,71.206
1743,2005/10/10,0.0,46.78,61.172
1744,2005/10/11,0.0,53.88,54.306
1745,2005/10/12,0.0,29.14,47.902
1746,2005/10/13,0.0,35.16,42.161
1747,2005/10/14,0.0,29.65,36.87
1748,2005/10/15,2.05,22.48,34.728
1749,2005/10/16,0.0,35.41,31.599
1750,2005/10/17,0.0,29.04,28.241
1751,2005/10/18,0.42,23.1,25.497
1752,2005/10/19,0.53,22.47,23.341
1753,2005/10/20,0.0,24.74,20.891
1754,2005/10/21,7.81,35.39,28.49
1755,2005/10/22,0.82,29.26,30.991
1756,2005/10/23,0.0,27.49,30.174
1757,2005/10/24,0.0,23.61,27.914
1758,2005/10/25,0.0,36.09,25.321
1759,2005/10/26,0.0,17.92,22.51
1760,2005/10/27,0.0,24.86,19.795
1761,2005/10/28,0.07,12.4,17.255
1762,2005/10/29,0.0,24.64,14.874
1763,2005/10/30,0.02,18.12,12.899
1764,2005/10/31,0.0,14.55,11.414
1765,2005/11/ 1,0.02,10.16,10.284
1766,2005/11/ 2,0.0,25.53,9.668
1767,2005/11/ 3,0.0,18.41,9.073
1768,2005/11/ 4,0.0,7.46,8.526
1769,2005/11/ 5,0.31,10.69,8.012
1770,2005/11/ 6,25.05,49.7,56.187
1771,2005/11/ 7,2.14,44.23,79.054
1772,2005/11/ 8,0.76,32.71,65.465
1773,2005/11/ 9,0.01,26.69,51.281
1774,2005/11/10,0.61,20.64,44.716
1775,2005/11/11,0.01,21.34,40.047
1776,2005/11/12,0.0,15.95,35.377
1777,2005/11/13,0.0,20.0,31.049
1778,2005/11/14,0.0,16.06,27.126
1779,2005/11/15,0.0,10.84,23.659
1780,2005/11/16,0.0,17.49,20.618
1781,2005/11/17,0.0,8.76,17.926
1782,2005/11/18,0.0,10.3,15.584
1783,2005/11/19,0.0,14.0,13.571
1784,2005/11/20,0.0,8.84,11.781
1785,2005/11/21,0.0,13.01,10.263
1786,2005/11/22,0.0,7.05,9.154
1787,2005/11/23,0.0,13.76,8.272
1788,2005/11/24,0.0,9.2,7.781
1789,2005/11/25,0.0,18.41,7.321
1790,2005/11/26,0.15,2.02,6.899
1791,2005/11/27,0.17,8.74,6.515
1792,2005/11/28,4.95,19.94,10.388
1793,2005/11/29,0.52,8.94,11.461
1794,2005/11/30,0.22,10.96,11.123
1795,2005/12/ 1,0.55,4.97,10.204
1796,2005/12/ 2,0.0,13.36,9.021
1797,2005/12/ 3,0.02,10.79,7.681
1798,2005/12/ 4,0.17,7.48,6.495
1799,2005/12/ 5,0.15,1.1,5.694
1800,2005/12/ 6,0.04,3.18,5.12
1801,2005/12/ 7,0.0,7.32,4.897
1802,2005/12/ 8,0.0,4.32,4.669
1803,2005/12/ 9,0.0,3.48,4.454
1804,2005/12/10,0.0,10.37,4.246
1805,2005/12/11,0.0,0.35,4.057
1806,2005/12/12,0.0,2.32,3.88
1807,2005/12/13,0.0,2.83,3.718
1808,2005/12/14,0.0,3.34,3.568
1809,2005/12/15,0.0,1.75,3.426
1810,2005/12/16,0.03,0.16,3.29
1811,2005/12/17,0.0,0.14,3.163
1812,2005/12/18,0.01,0.12,3.048
1813,2005/12/19,0.0,0.23,2.944
1814,2005/12/20,0.0,0.35,2.844
1815,2005/12/21,0.24,0.47,2.749
1816,2005/12/22,0.0,1.14,2.658
1817,2005/12/23,0.39,1.8,2.573
1818,2005/12/24,0.01,1.62,2.493
1819,2005/12/25,1.19,1.45,2.411
1820,2005/12/26,0.0,2.11,2.411
1821,2005/12/27,0.04,1.86,2.41
1822,2005/12/28,0.0,1.04,2.409
1823,2005/12/29,0.04,0.23,2.408
1824,2005/12/30,0.36,0.71,2.408
1825,2005/12/31,0.02,4.52,2.407
1826,2006/ 1/ 1,0.0,1.49,2.406
1827,2006/ 1/ 2,0.1,4.15,2.406
1828,2006/ 1/ 3,0.0,6.8,2.405
1829,2006/ 1/ 4,0.0,6.41,2.404
1830,2006/ 1/ 5,0.0,6.63,2.403
1831,2006/ 1/ 6,0.0,1.65,2.403
1832,2006/ 1/ 7,0.0,6.15,2.402
1833,2006/ 1/ 8,0.0,1.78,2.401
1834,2006/ 1/ 9,0.0,6.27,2.4
1835,2006/ 1/10,0.05,1.61,2.4
1836,2006/ 1/11,0.0,6.58,2.399
1837,2006/ 1/12,2.23,1.74,2.398
1838,2006/ 1/13,18.83,16.94,2.397
1839,2006/ 1/14,0.52,6.31,2.397
1840,2006/ 1/15,0.09,5.63,2.396
1841,2006/ 1/16,0.01,15.45,2.395
1842,2006/ 1/17,0.0,6.43,2.395
1843,2006/ 1/18,0.0,11.29,2.394
1844,2006/ 1/19,0.0,6.35,2.393
1845,2006/ 1/20,0.0,11.41,2.392
1846,2006/ 1/21,0.0,1.82,2.392
1847,2006/ 1/22,0.0,6.88,2.391
1848,2006/ 1/23,0.0,5.49,2.39
1849,2006/ 1/24,0.0,6.8,2.389
1850,2006/ 1/25,0.0,6.51,2.388
1851,2006/ 1/26,0.0,2.38,2.388
1852,2006/ 1/27,0.0,7.52,2.387
1853,2006/ 1/28,0.0,6.45,2.386
1854,2006/ 1/29,0.04,1.63,2.385
1855,2006/ 1/30,0.22,6.56,2.842
1856,2006/ 1/31,5.35,10.68,3.363
1857,2006/ 2/ 1,4.11,11.88,2.857
1858,2006/ 2/ 2,0.0,1.27,2.523
1859,2006/ 2/ 3,0.0,6.49,2.484
1860,2006/ 2/ 4,0.0,6.59,2.484
1861,2006/ 2/ 5,0.08,3.12,2.483
1862,2006/ 2/ 6,0.14,6.41,2.482
1863,2006/ 2/ 7,3.54,6.73,2.481
1864,2006/ 2/ 8,0.54,6.64,2.48
1865,2006/ 2/ 9,0.1,1.77,2.48
1866,2006/ 2/10,0.15,1.69,2.479
1867,2006/ 2/11,0.0,4.43,2.478
1868,2006/ 2/12,0.01,4.72,2.477
1869,2006/ 2/13,0.09,4.61,2.595
1870,2006/ 2/14,2.7,9.42,7.268
1871,2006/ 2/15,0.06,9.09,9.048
1872,2006/ 2/16,0.0,9.55,9.402
1873,2006/ 2/17,0.04,9.62,8.152
1874,2006/ 2/18,0.0,3.96,6.305
1875,2006/ 2/19,0.0,9.55,4.839
1876,2006/ 2/20,0.0,5.03,4.174
1877,2006/ 2/21,0.0,4.89,4.541
1878,2006/ 2/22,0.0,10.56,5.144
1879,2006/ 2/23,0.0,5.06,4.406
1880,2006/ 2/24,0.06,9.79,3.928
1881,2006/ 2/25,0.0,5.5,3.832
1882,2006/ 2/26,0.0,4.68,3.508
1883,2006/ 2/27,0.01,10.0,3.119
1884,2006/ 2/28,0.49,1.31,3.046
1885,2006/ 3/ 1,2.72,14.65,2.948
1886,2006/ 3/ 2,0.21,0.87,2.845
1887,2006/ 3/ 3,0.0,1.77,2.738
1888,2006/ 3/ 4,0.27,6.25,2.627
1889,2006/ 3/ 5,1.12,6.14,6.119
1890,2006/ 3/ 6,0.06,10.68,8.088
1891,2006/ 3/ 7,0.0,6.49,9.299
1892,2006/ 3/ 8,0.11,10.82,10.346
1893,2006/ 3/ 9,0.0,10.77,12.768
1894,2006/ 3/10,0.0,7.1,15.41
1895,2006/ 3/11,0.0,11.11,17.463
1896,2006/ 3/12,0.0,10.58,16.587
1897,2006/ 3/13,0.04,11.13,14.654
1898,2006/ 3/14,0.0,9.9,12.219
1899,2006/ 3/15,0.01,15.56,10.832
1900,2006/ 3/16,3.6,2.53,12.504
1901,2006/ 3/17,0.39,11.49,14.963
1902,2006/ 3/18,0.0,10.75,16.893
1903,2006/ 3/19,0.0,5.34,16.918
1904,2006/ 3/20,0.08,15.75,16.089
1905,2006/ 3/21,0.0,10.54,15.707
1906,2006/ 3/22,0.05,11.8,15.768
1907,2006/ 3/23,0.39,2.98,15.694
1908,2006/ 3/24,0.01,11.83,14.762
1909,2006/ 3/25,0.36,15.52,14.449
1910,2006/ 3/26,0.0,11.75,13.497
1911,2006/ 3/27,0.0,3.39,12.294
1912,2006/ 3/28,0.16,15.88,10.948
1913,2006/ 3/29,0.48,12.15,9.355
1914,2006/ 3/30,3.02,12.09,8.411
1915,2006/ 3/31,0.19,3.91,7.545
1916,2006/ 4/ 1,10.22,16.11,20.447
1917,2006/ 4/ 2,2.73,19.51,29.035
1918,2006/ 4/ 3,0.05,45.6,45.741
1919,2006/ 4/ 4,0.03,54.02,47.895
1920,2006/ 4/ 5,0.0,20.03,40.45
1921,2006/ 4/ 6,0.0,29.08,36.224
1922,2006/ 4/ 7,1.1,24.64,33.123
1923,2006/ 4/ 8,0.13,25.16,29.003
1924,2006/ 4/ 9,7.19,33.57,33.827
1925,2006/ 4/10,5.95,41.66,41.019
1926,2006/ 4/11,1.82,54.19,43.747
1927,2006/ 4/12,0.13,71.07,42.004
1928,2006/ 4/13,0.0,58.15,38.403
1929,2006/ 4/14,0.0,45.0,33.779
1930,2006/ 4/15,0.0,37.1,29.263
1931,2006/ 4/16,0.0,29.2,24.824
1932,2006/ 4/17,0.35,33.17,21.429
1933,2006/ 4/18,8.76,12.62,29.169
1934,2006/ 4/19,41.2,104.76,155.246
1935,2006/ 4/20,3.73,274.92,198.847
1936,2006/ 4/21,1.39,159.37,136.48
1937,2006/ 4/22,0.06,135.07,120.458
1938,2006/ 4/23,5.29,109.51,116.922
1939,2006/ 4/24,0.29,95.89,96.672
1940,2006/ 4/25,0.0,75.83,71.211
1941,2006/ 4/26,0.0,63.13,56.932
1942,2006/ 4/27,0.16,54.56,48.937
1943,2006/ 4/28,0.03,46.3,41.845
1944,2006/ 4/29,0.0,41.82,35.39
1945,2006/ 4/30,0.76,58.96,30.939
1946,2006/ 5/ 1,0.01,19.52,26.349
1947,2006/ 5/ 2,0.0,32.53,21.891
1948,2006/ 5/ 3,0.0,24.21,18.255
1949,2006/ 5/ 4,0.0,24.43,15.541
1950,2006/ 5/ 5,0.0,33.32,14.574
1951,2006/ 5/ 6,59.65,172.7,305.769
1952,2006/ 5/ 7,1.48,375.06,351.294
1953,2006/ 5/ 8,0.01,198.45,139.002
1954,2006/ 5/ 9,0.05,128.79,87.538
1955,2006/ 5/10,0.65,110.75,64.907
1956,2006/ 5/11,0.36,70.3,54.612
1957,2006/ 5/12,0.0,58.41,47.003
1958,2006/ 5/13,1.77,49.51,42.284
1959,2006/ 5/14,0.15,47.35,36.796
1960,2006/ 5/15,0.03,45.04,31.055
1961,2006/ 5/16,0.0,28.02,25.475
1962,2006/ 5/17,0.0,15.42,20.601
1963,2006/ 5/18,0.0,21.62,17.229
1964,2006/ 5/19,0.03,24.62,14.955
1965,2006/ 5/20,0.0,24.42,13.984
1966,2006/ 5/21,0.0,16.73,13.004
1967,2006/ 5/22,20.92,32.75,45.466
1968,2006/ 5/23,0.61,47.38,53.428
1969,2006/ 5/24,0.0,30.9,43.766
1970,2006/ 5/25,0.0,33.97,39.113
1971,2006/ 5/26,0.0,12.76,33.622
1972,2006/ 5/27,14.29,21.7,52.389
1973,2006/ 5/28,9.22,58.15,80.644
1974,2006/ 5/29,3.48,72.9,89.97
1975,2006/ 5/30,0.36,52.9,72.188
1976,2006/ 5/31,0.04,41.84,54.752
1977,2006/ 6/ 1,0.0,30.92,46.32
1978,2006/ 6/ 2,0.0,26.57,38.846
1979,2006/ 6/ 3,0.0,17.08,31.941
1980,2006/ 6/ 4,0.0,33.41,25.847
1981,2006/ 6/ 5,2.83,8.22,24.047
1982,2006/ 6/ 6,0.38,14.71,21.308
1983,2006/ 6/ 7,0.39,6.44,18.463
1984,2006/ 6/ 8,33.05,32.38,90.208
1985,2006/ 6/ 9,1.43,56.43,121.858
1986,2006/ 6/10,13.07,56.52,134.91
1987,2006/ 6/11,7.16,56.94,150.665
1988,2006/ 6/12,0.06,52.25,126.432
1989,2006/ 6/13,0.14,28.94,89.355
1990,2006/ 6/14,56.62,77.67,449.182
1991,2006/ 6/15,11.38,587.01,510.859
1992,2006/ 6/16,0.43,274.38,214.011
1993,2006/ 6/17,0.0,155.91,141.096
1994,2006/ 6/18,3.53,103.97,108.461
1995,2006/ 6/19,0.0,65.64,84.992
1996,2006/ 6/20,0.0,48.37,67.251
1997,2006/ 6/21,2.96,44.37,61.581
1998,2006/ 6/22,0.23,36.15,55.08
1999,2006/ 6/23,0.17,6.06,48.377
2000,2006/ 6/24,1.69,20.07,43.712
2001,2006/ 6/25,0.57,17.21,38.898
2002,2006/ 6/26,12.57,32.15,50.763
2003,2006/ 6/27,0.17,31.35,52.07
2004,2006/ 6/28,0.0,26.82,47.757
2005,2006/ 6/29,0.41,23.58,43.059
2006,2006/ 6/30,36.67,28.43,142.44
2007,2006/ 7/ 1,24.8,201.2,352.45
2008,2006/ 7/ 2,19.06,296.22,435.768
2009,2006/ 7/ 3,0.39,297.75,281.007
2010,2006/ 7/ 4,1.33,174.89,152.9
2011,2006/ 7/ 5,2.69,116.45,117.32
2012,2006/ 7/ 6,0.27,104.65,90.827
2013,2006/ 7/ 7,3.95,77.12,76.755
2014,2006/ 7/ 8,0.13,77.04,68.679
2015,2006/ 7/ 9,1.74,61.5,62.011
2016,2006/ 7/10,21.75,65.26,109.158
2017,2006/ 7/11,2.3,180.08,130.761
2018,2006/ 7/12,130.57,1468.68,1300.389
2019,2006/ 7/13,34.1,2244.48,1603.293
2020,2006/ 7/14,40.68,1063.51,904.082
2021,2006/ 7/15,156.62,4208.17,2108.695
2022,2006/ 7/16,105.3,3904.72,2814.281
2023,2006/ 7/17,19.56,1238.68,1525.253
2024,2006/ 7/18,47.95,1194.73,881.102
2025,2006/ 7/19,1.43,826.4,667.326
2026,2006/ 7/20,5.49,393.46,262.011
2027,2006/ 7/21,1.95,254.68,193.677
2028,2006/ 7/22,0.99,186.64,151.753
2029,2006/ 7/23,0.03,133.3,119.474
2030,2006/ 7/24,2.23,117.92,102.78
2031,2006/ 7/25,0.01,99.14,91.169
2032,2006/ 7/26,4.85,89.49,87.228
2033,2006/ 7/27,143.52,1236.66,1340.27
2034,2006/ 7/28,17.19,2012.9,1492.108
2035,2006/ 7/29,2.51,602.42,414.33
2036,2006/ 7/30,0.41,313.04,206.534
2037,2006/ 7/31,0.01,200.96,148.693
2038,2006/ 8/ 1,0.0,151.22,113.295
2039,2006/ 8/ 2,0.06,117.56,93.255
2040,2006/ 8/ 3,0.0,91.09,80.021
2041,2006/ 8/ 4,0.0,78.42,68.988
2042,2006/ 8/ 5,0.01,68.32,59.482
2043,2006/ 8/ 6,0.04,45.37,51.321
2044,2006/ 8/ 7,0.0,52.69,44.39
2045,2006/ 8/ 8,0.17,34.63,39.145
2046,2006/ 8/ 9,0.0,36.48,35.141
2047,2006/ 8/10,0.01,32.22,32.616
2048,2006/ 8/11,0.0,27.99,30.228
2049,2006/ 8/12,0.0,23.46,27.996
2050,2006/ 8/13,0.0,25.58,25.918
2051,2006/ 8/14,0.0,21.01,23.985
2052,2006/ 8/15,0.08,23.02,22.193
2053,2006/ 8/16,1.76,13.0,20.159
2054,2006/ 8/17,15.97,56.73,37.759
2055,2006/ 8/18,0.23,18.37,42.146
2056,2006/ 8/19,6.37,21.22,48.226
2057,2006/ 8/20,5.2,55.03,55.349
2058,2006/ 8/21,0.23,49.18,53.564
2059,2006/ 8/22,6.2,38.54,54.257
2060,2006/ 8/23,11.41,44.16,79.192
2061,2006/ 8/24,0.14,43.47,81.259
2062,2006/ 8/25,4.91,32.37,71.601
2063,2006/ 8/26,17.26,68.36,112.451
