date,month,leadtime,CRPS
2011_1,1,1,0.2330433293508556
2011_2,2,1,1.4996522045855376
2011_3,3,1,10.542166786140987
2011_4,4,1,5.36734032921809
2011_5,5,1,24.853495977698074
2011_6,6,1,117.64961234567899
2011_7,7,1,349.4687982477103
2011_8,8,1,51.39237817602544
2011_9,9,1,30.39197654320987
2011_10,10,1,14.867980884109924
2011_11,11,1,3.6782899588477385
2011_12,12,1,7.354511429709266
2012_1,1,1,1.1796711270410203
2012_2,2,1,0.9703617709663699
2012_3,3,1,2.6136393468737573
2012_4,4,1,43.510827983539045
2012_5,5,1,17.828380485862205
2012_6,6,1,26.371472757201637
2012_7,7,1,32.75501354042214
2012_8,8,1,26.419171485463927
2012_9,9,1,26.3606790946502
2012_10,10,1,4.175230187176421
2012_11,11,1,4.340750041152271
2012_12,12,1,3.1698078853046647
2013_1,1,1,4.414647550776585
2013_2,2,1,12.697060582010586
2013_3,3,1,8.57989812823578
2013_4,4,1,5.6559871604938365
2013_5,5,1,8.943494623655916
2013_6,6,1,26.967303127572013
2013_7,7,1,237.7904925527679
2013_8,8,1,80.0262168857029
2013_9,9,1,22.38869942386834
2013_10,10,1,11.85480047789724
2013_11,11,1,3.0348864197530885
2013_12,12,1,1.3078044603743484
2014_1,1,1,3.172554042214256
2014_2,2,1,2.5342860670194014
2014_3,3,1,3.1006252489048194
2014_4,4,1,5.564362880658431
2014_5,5,1,14.211707128634025
2014_6,6,1,24.480959588477365
2014_7,7,1,129.7693978494624
2014_8,8,1,39.20689374751092
2014_9,9,1,17.622289794238668
2014_10,10,1,4.358325448028685
2014_11,11,1,6.499129629629623
2014_12,12,1,5.034850896057348
2015_1,1,1,0.5154626045400228
2015_2,2,1,0.9182763668430329
2015_3,3,1,11.076326164874548
2015_4,4,1,16.057326172839517
2015_5,5,1,21.100147909199514
2015_6,6,1,21.773807901234594
2015_7,7,1,51.016882596575115
2015_8,8,1,52.29918534448428
2015_9,9,1,38.890499423868306
2015_10,10,1,4.055117323775388
2015_11,11,1,31.320790288065854
2015_12,12,1,11.87846833930705
2016_1,1,1,2.85630481879729
2016_2,2,1,8.609439421030226
2016_3,3,1,5.607728395061732
2016_4,4,1,20.434815555555552
2016_5,5,1,8.765911748307467
2016_6,6,1,29.869256378600813
2016_7,7,1,85.26196288331334
2016_8,8,1,99.67893118279572
2016_9,9,1,42.944214567901206
2016_10,10,1,7.891153962564722
2016_11,11,1,5.144741234567901
