,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
0,2011_1,1,1,0.1824745806451609,0.2330433293508556,0.21699290362249124,1.0
1,2011_2,2,1,1.3216914285714263,1.4996522045855376,0.11866803214102217,1.0
2,2011_3,3,1,5.144364387096776,10.542166786140989,0.5120202050057021,1.0
3,2011_4,4,1,4.4947282666666695,5.36734032921809,0.1625781129996915,1.0
4,2011_5,5,1,54.3447649032258,24.853495977698078,-1.186604450013442,0.0
5,2011_6,6,1,131.83230933333337,117.649612345679,-0.12055030785807141,0.0
6,2011_7,7,1,465.3992449032259,349.4687982477103,-0.3317333256554189,0.0
7,2011_8,8,1,61.10788903225814,51.39237817602544,-0.1890457534958947,0.0
8,2011_9,9,1,34.452387466666686,30.39197654320987,-0.1336014101512586,0.0
9,2011_10,10,1,9.811304774193552,14.867980884109924,0.3401050989593798,1.0
10,2011_11,11,1,20.73568933333332,3.6782899588477385,-4.637317765951487,0.0
11,2011_12,12,1,9.620072516129031,7.354511429709266,-0.3080505221961871,0.0
12,2012_1,1,1,0.6923811612903215,1.1796711270410205,0.41307272389803484,1.0
13,2012_2,2,1,0.5950689655172421,0.97036177096637,0.38675555517338545,1.0
14,2012_3,3,1,2.9131927741935515,2.6136393468737573,-0.11461161528582653,0.0
15,2012_4,4,1,21.6295989333333,43.510827983539045,0.5028915804241607,1.0
16,2012_5,5,1,3.2288859354838726,17.828380485862205,0.8188906761304338,1.0
17,2012_6,6,1,22.93198720000001,26.37147275720164,0.13042447757349318,1.0
18,2012_7,7,1,20.79993987096772,32.75501354042214,0.3649845436546978,1.0
19,2012_8,8,1,23.848703999999977,26.419171485463927,0.09729553732895246,1.0
20,2012_9,9,1,30.66929999999997,26.3606790946502,-0.16344878255523354,0.0
21,2012_10,10,1,4.143112000000001,4.175230187176421,0.007692554838069965,1.0
22,2012_11,11,1,2.839037600000004,4.340750041152271,0.34595690305024585,1.0
23,2012_12,12,1,4.5976655483870985,3.1698078853046647,-0.4504555842964584,0.0
24,2013_1,1,1,3.048524903225809,4.414647550776585,0.30945225679691235,1.0
25,2013_2,2,1,9.781590571428575,12.697060582010586,0.22961771283604793,1.0
26,2013_3,3,1,2.784099354838709,8.57989812823578,0.6755090429714481,1.0
27,2013_4,4,1,4.593696000000001,5.6559871604938365,0.18781710961329057,1.0
28,2013_5,5,1,4.273340129032274,8.943494623655916,0.5221845253052301,1.0
29,2013_6,6,1,41.15308080000001,26.967303127572013,-0.5260362004061179,0.0
30,2013_7,7,1,221.1522291612904,237.7904925527679,0.0699702633728525,1.0
31,2013_8,8,1,27.65699999999999,80.0262168857029,0.6544007566982583,1.0
32,2013_9,9,1,13.50515786666668,22.38869942386834,0.3967868516619154,1.0
33,2013_10,10,1,20.326928516129005,11.85480047789724,-0.7146580032306475,0.0
34,2013_11,11,1,1.9448250666666635,3.0348864197530885,0.35917698467776926,1.0
35,2013_12,12,1,2.2831295483871026,1.3078044603743484,-0.7457728716826484,0.0
36,2014_1,1,1,1.8721238709677424,3.172554042214256,0.40990008489780994,1.0
37,2014_2,2,1,1.9755862857142892,2.5342860670194014,0.2204564782862909,1.0
38,2014_3,3,1,5.138680258064522,3.1006252489048194,-0.657304525878956,0.0
39,2014_4,4,1,3.9303794666666736,5.564362880658431,0.29365148338391756,1.0
40,2014_5,5,1,7.292643870967762,14.211707128634025,0.4868565890810963,1.0
41,2014_6,6,1,21.85891493333333,24.480959588477365,0.10710546887133343,1.0
42,2014_7,7,1,131.15860748387098,129.7693978494624,-0.010705217543045986,0.0
43,2014_8,8,1,55.16278064516131,39.20689374751092,-0.40696636158949384,0.0
44,2014_9,9,1,21.79020453333333,17.622289794238668,-0.23651380086016394,0.0
45,2014_10,10,1,3.6740598709677466,4.358325448028685,0.1570019460961638,1.0
46,2014_11,11,1,2.811565066666664,6.499129629629623,0.5673936008525358,1.0
47,2014_12,12,1,5.858335741935484,5.034850896057348,-0.16355694793722386,0.0
48,2015_1,1,1,2.3999078709677413,0.5154626045400228,-3.6558331289799737,0.0
49,2015_2,2,1,2.69163142857143,0.9182763668430328,-1.93117793919173,0.0
50,2015_3,3,1,8.60557858064516,11.076326164874548,0.22306562189046664,1.0
51,2015_4,4,1,5.600501066666672,16.057326172839517,0.6512183282332678,1.0
52,2015_5,5,1,12.22707896774193,21.100147909199517,0.4205216465610173,1.0
53,2015_6,6,1,24.71592533333333,21.773807901234598,-0.1351218604225819,0.0
54,2015_7,7,1,16.790316129032277,51.01688259657512,0.670887061802568,1.0
55,2015_8,8,1,28.058284903225832,52.29918534448428,0.46350436018436003,1.0
56,2015_9,9,1,30.95166666666668,38.89049942386831,0.20413295984389768,1.0
57,2015_10,10,1,4.213060645161291,4.055117323775388,-0.038949137293728286,0.0
58,2015_11,11,1,7.749484800000005,31.32079028806585,0.752576971119634,1.0
59,2015_12,12,1,1.6261548387096765,11.87846833930705,0.8631006294533305,1.0
60,2016_1,1,1,2.853942967741933,2.85630481879729,0.000826890407429226,1.0
61,2016_2,2,1,4.477978482758622,8.609439421030226,0.47987571968735954,1.0
62,2016_3,3,1,4.684137290322587,5.607728395061732,0.16469968580369831,1.0
63,2016_4,4,1,18.219399733333333,20.434815555555552,0.10841379097350945,1.0
64,2016_5,5,1,14.637772903225802,8.765911748307467,-0.6698517306031608,0.0
65,2016_6,6,1,27.050226399999985,29.869256378600813,0.09437898094511854,1.0
66,2016_7,7,1,39.43542606451608,85.26196288331334,0.5374792611977972,1.0
67,2016_8,8,1,33.43441058064512,99.67893118279572,0.6645789618336537,1.0
