,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
0,2011_1,1,1,0.3369664516129023,0.2330433293508556,-0.4459390558465053,0.0
1,2011_2,2,1,1.8627382857142851,1.4996522045855376,-0.24211352473495307,0.0
2,2011_3,3,1,2.4009914838709685,10.542166786140989,0.772248767015584,1.0
3,2011_4,4,1,6.374945333333319,5.36734032921809,-0.18772892015625486,0.0
4,2011_5,5,1,41.45910864516128,24.853495977698078,-0.6681399140935347,0.0
5,2011_6,6,1,94.87890026666662,117.649612345679,0.19354685174913544,1.0
6,2011_7,7,1,484.1118327741935,349.4687982477103,-0.38527912992977864,0.0
7,2011_8,8,1,50.21647948387103,51.39237817602544,0.022880799330336488,1.0
8,2011_9,9,1,45.52223706666668,30.39197654320987,-0.4978373322296208,0.0
9,2011_10,10,1,11.94833083870968,14.867980884109924,0.19637165719795924,1.0
10,2011_11,11,1,23.732673333333334,3.6782899588477385,-5.45209420650672,0.0
11,2011_12,12,1,4.240148903225799,7.354511429709266,0.4234628712252314,1.0
12,2012_1,1,1,2.1473261935483867,1.1796711270410205,-0.8202752820903094,0.0
13,2012_2,2,1,0.5445288275862079,0.97036177096637,0.43883936498866905,1.0
14,2012_3,3,1,2.6709362580645166,2.6136393468737573,-0.02192227143323877,0.0
15,2012_4,4,1,16.883235733333294,43.510827983539045,0.6119762248670484,1.0
16,2012_5,5,1,7.142868903225816,17.828380485862205,0.5993540238335127,1.0
17,2012_6,6,1,46.529864,26.37147275720164,-0.7644014207470995,0.0
18,2012_7,7,1,20.674460129032266,32.75501354042214,0.3688153997091641,1.0
19,2012_8,8,1,25.791295483870947,26.419171485463927,0.02376592324019111,1.0
20,2012_9,9,1,23.89455440000003,26.3606790946502,0.09355315490148597,1.0
21,2012_10,10,1,3.58313780645162,4.175230187176421,0.14181071562073921,1.0
22,2012_11,11,1,1.6594690666666718,4.340750041152271,0.61769992491294,1.0
23,2012_12,12,1,7.0618823225806455,3.1698078853046647,-1.2278581472775585,0.0
24,2013_1,1,1,6.60602683870968,4.414647550776585,-0.49638827623908677,0.0
25,2013_2,2,1,18.746290571428577,12.697060582010586,-0.47642759127956325,0.0
26,2013_3,3,1,10.134775483870964,8.57989812823578,-0.18122328871460658,0.0
27,2013_4,4,1,8.128706133333367,5.6559871604938365,-0.4371861007944069,0.0
28,2013_5,5,1,9.78471509677419,8.943494623655916,-0.09405948217302118,0.0
29,2013_6,6,1,74.33857146666669,26.967303127572013,-1.7566186768843477,0.0
30,2013_7,7,1,260.30273548387095,237.7904925527679,-0.09467259472582734,0.0
31,2013_8,8,1,23.8110676129032,80.0262168857029,0.7024591622653954,1.0
32,2013_9,9,1,12.404685333333331,22.38869942386834,0.44593988697222686,1.0
33,2013_10,10,1,26.037022967741937,11.85480047789724,-1.196327387903899,0.0
34,2013_11,11,1,2.8367850666666627,3.0348864197530885,0.06527471729981338,1.0
35,2013_12,12,1,2.834909161290322,1.3078044603743484,-1.1676858025693324,0.0
36,2014_1,1,1,3.68274529032258,3.172554042214256,-0.16081404487352424,0.0
37,2014_2,2,1,4.59108,2.5342860670194014,-0.8115871210228505,0.0
38,2014_3,3,1,3.961878193548388,3.1006252489048194,-0.2777675067142584,0.0
39,2014_4,4,1,4.732890933333328,5.564362880658431,0.1494280594486883,1.0
40,2014_5,5,1,16.659172903225823,14.211707128634025,-0.17221476297246485,0.0
41,2014_6,6,1,42.89070586666666,24.480959588477365,-0.7520026415489998,0.0
42,2014_7,7,1,112.26210683870966,129.7693978494624,0.1349107825179391,1.0
43,2014_8,8,1,44.812968000000005,39.20689374751092,-0.14298695246279225,0.0
44,2014_9,9,1,16.431335733333295,17.622289794238668,0.06758225377128557,1.0
45,2014_10,10,1,3.469731096774193,4.358325448028685,0.2038843500446742,1.0
46,2014_11,11,1,2.540620533333337,6.499129629629623,0.6090829575470209,1.0
47,2014_12,12,1,3.154386838709681,5.034850896057348,0.3734895225636585,1.0
48,2015_1,1,1,0.6036141935483874,0.5154626045400228,-0.1710145182831011,0.0
49,2015_2,2,1,1.260501714285715,0.9182763668430328,-0.3726822989240459,0.0
50,2015_3,3,1,4.605244645161289,11.076326164874548,0.5842263421453291,1.0
51,2015_4,4,1,6.663119733333327,16.057326172839517,0.5850417646367678,1.0
52,2015_5,5,1,22.43761212903226,21.100147909199517,-0.06338648551603843,0.0
53,2015_6,6,1,47.99798133333337,21.773807901234598,-1.2043907777202274,0.0
54,2015_7,7,1,13.609442322580684,51.01688259657512,0.7332364968240079,1.0
