time,leadtime,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2018-10-01,1,0.0,1.15,0.79,0.22,1.04,0.0,2.49,0.23,0.0,0.61,0.07,0.11,0.0,0.0,0.43,0.0,0.61,0.0,0.79,0.36,0.0,0.0,0.47,0.47,0.0,0.0,0.59,0.0,0.14,0.0,0.4,0.0,0.01,1.29,0.0,0.64,0.0,0.0,0.43,0.27,0.0,0.0,0.0,0.0,0.57,0.93,0.0,0.43,0.01,0.36,0.0,0.31,0.0
2018-10-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-03,1,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.23,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2018-10-04,1,0.14,0.13,0.01,0.06,0.05,0.0,0.01,0.05,0.69,0.03,0.07,0.11,0.01,0.33,1.24,0.02,0.03,0.02,0.07,0.18,0.07,0.12,0.04,0.0,0.15,0.28,0.39,0.0,0.13,0.23,0.09,0.0,0.13,0.18,0.07,0.0,0.42,0.2,0.2,0.02,0.55,0.05,0.06,3.27,0.01,0.13,0.01,0.01,0.0,0.24,0.0,0.2,0.53
2018-10-05,1,4.44,0.0,1.29,0.07,1.07,0.03,0.12,0.09,0.36,0.02,0.03,0.21,0.78,0.13,1.71,3.63,0.21,0.45,0.13,0.59,12.47,0.43,0.16,9.85,4.91,1.23,16.04,0.15,0.0,0.02,0.18,0.01,0.76,0.89,2.47,0.17,5.25,1.16,0.57,0.13,2.33,0.67,15.97,3.5,5.33,0.87,0.33,2.3,0.0,0.17,0.01,2.03,24.19
2018-10-06,1,49.53,0.27,28.23,0.0,2.4,1.8,0.03,42.24,74.58,0.26,27.47,0.02,29.67,39.06,0.13,16.26,0.0,0.0,43.92,7.43,9.38,0.04,29.05,6.19,12.83,0.34,0.41,0.06,0.02,0.01,0.0,0.0,0.0,29.89,19.55,9.61,0.61,37.34,1.26,0.92,21.42,0.15,50.73,15.66,0.29,19.31,0.04,43.26,0.0,0.01,2.82,13.23,52.74
2018-10-07,1,0.03,0.35,0.76,0.0,0.13,0.19,1.89,4.75,6.07,0.12,8.6,0.03,44.12,43.38,0.0,14.55,0.29,0.0,1.08,0.07,0.26,0.1,38.22,11.95,9.62,0.0,0.41,0.0,2.51,0.04,0.01,2.33,0.28,4.96,0.16,0.0,0.03,1.57,0.01,0.0,0.04,23.17,0.0,2.98,0.32,0.55,0.0,5.67,0.0,24.47,0.39,5.03,0.0
2018-10-08,1,0.0,0.07,0.0,0.0,0.02,0.02,0.28,0.0,0.0,0.0,1.02,0.45,0.0,0.02,0.13,3.79,7.37,0.0,0.0,0.77,1.92,6.32,0.02,0.78,0.03,4.91,0.0,0.0,0.02,0.12,0.17,2.16,2.65,0.0,0.02,0.14,0.0,0.0,0.21,0.02,0.0,1.7,0.02,0.0,0.01,0.01,0.07,0.06,0.0,0.02,5.9,0.81,0.0
2018-10-09,1,0.92,0.01,0.0,0.02,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,6.32,0.36,0.83,0.04,0.02,2.54,0.01,7.76,4.43,0.0,1.39,9.96,0.03,0.0,0.0,0.02,0.42,0.0,0.0,0.0,0.0,0.31,0.91,0.0,0.23,0.0,0.02,0.0,0.47,0.04,0.0,0.91,0.0,0.0,0.0,0.04,1.57,0.78,0.0
2018-10-10,1,0.83,0.72,0.74,0.0,0.12,-0.01,0.1,0.1,0.0,0.09,0.0,0.04,0.0,0.0,0.21,0.01,1.49,0.17,1.22,5.74,0.02,0.3,0.0,0.03,0.07,0.05,3.19,0.0,0.0,0.0,0.12,0.03,0.31,0.16,3.01,0.0,0.0,0.0,0.21,0.11,0.18,0.0,0.0,0.0,0.01,3.09,0.02,0.28,0.0,0.0,0.01,0.45,3.42
